st,state,a_mean,tot_emp,a_median,occ_title,group,year
CA,California,53080.0,222610.0,43220,"Arts, design, entertainment, sports, and media occupations",major,2003
CA,California,62890.0,573150.0,54630,Healthcare practitioners and technical occupations,major,2003
CA,California,25730.0,307750.0,23880,Healthcare support occupations,major,2003
CA,California,41140.0,360290.0,35940,Protective service occupations,major,2003
CA,California,18750.0,1132710.0,16660,Food preparation and serving related occupations,major,2003
CA,California,22910.0,468560.0,19810,Building and grounds cleaning and maintenance occupations,major,2003
CA,California,23610.0,302740.0,18840,Personal care and service occupations,major,2003
CA,California,35330.0,1498610.0,23960,Sales and related occupations,major,2003
CA,California,31230.0,2695160.0,29030,Office and administrative support occupations,major,2003
CA,California,18450.0,168740.0,16070,"Farming, fishing, and forestry occupations",major,2003
CA,California,41350.0,704260.0,38970,Construction and extraction occupations,major,2003
CA,California,38880.0,513480.0,37180,"Installation, maintenance, and repair occupations",major,2003
CA,California,27390.0,1076140.0,22700,Production occupations,major,2003
CA,California,27680.0,1019250.0,22840,Transportation and material moving occupations,major,2003
CO,Colorado,85000.0,110060.0,74680,Management occupations,major,2003
CO,Colorado,57700.0,94950.0,50710,Business and financial operations occupations,major,2003
CO,Colorado,67250.0,75260.0,65710,Computer and mathematical occupations,major,2003
CO,Colorado,61070.0,53700.0,57250,Architecture and engineering occupations,major,2003
CO,Colorado,52920.0,25380.0,47780,"Life, physical, and social science occupations",major,2003
CO,Colorado,36930.0,22510.0,33980,Community and social services occupations,major,2003
CO,Colorado,73010.0,14090.0,59800,Legal occupations,major,2003
CO,Colorado,40330.0,118900.0,35660,"Education, training, and library occupations",major,2003
CO,Colorado,44310.0,31030.0,36670,"Arts, design, entertainment, sports, and media occupations",major,2003
CO,Colorado,57120.0,86480.0,46030,Healthcare practitioners and technical occupations,major,2003
CO,Colorado,25880.0,41260.0,23960,Healthcare support occupations,major,2003
CO,Colorado,37760.0,43920.0,35590,Protective service occupations,major,2003
CO,Colorado,18310.0,185160.0,16640,Food preparation and serving related occupations,major,2003
CO,Colorado,21580.0,71130.0,19810,Building and grounds cleaning and maintenance occupations,major,2003
CO,Colorado,22080.0,49990.0,19470,Personal care and service occupations,major,2003
CO,Colorado,33520.0,249020.0,23850,Sales and related occupations,major,2003
CO,Colorado,29760.0,378060.0,28230,Office and administrative support occupations,major,2003
CO,Colorado,22290.0,4450.0,18860,"Farming, fishing, and forestry occupations",major,2003
CO,Colorado,36870.0,126760.0,34850,Construction and extraction occupations,major,2003
CO,Colorado,38120.0,87350.0,36570,"Installation, maintenance, and repair occupations",major,2003
CO,Colorado,29140.0,110060.0,26350,Production occupations,major,2003
CO,Colorado,30000.0,133170.0,26180,Transportation and material moving occupations,major,2003
CT,Connecticut,102910.0,85200.0,90300,Management occupations,major,2003
CT,Connecticut,65440.0,80990.0,56980,Business and financial operations occupations,major,2003
CT,Connecticut,67480.0,43480.0,63870,Computer and mathematical occupations,major,2003
CT,Connecticut,60830.0,38370.0,58480,Architecture and engineering occupations,major,2003
CT,Connecticut,62970.0,17630.0,56870,"Life, physical, and social science occupations",major,2003
CT,Connecticut,40890.0,30610.0,38700,Community and social services occupations,major,2003
CT,Connecticut,81950.0,13400.0,63210,Legal occupations,major,2003
CT,Connecticut,46900.0,117640.0,43440,"Education, training, and library occupations",major,2003
CT,Connecticut,46740.0,20760.0,41030,"Arts, design, entertainment, sports, and media occupations",major,2003
CT,Connecticut,62040.0,85590.0,53060,Healthcare practitioners and technical occupations,major,2003
CT,Connecticut,27330.0,49340.0,26550,Healthcare support occupations,major,2003
CT,Connecticut,37110.0,37360.0,36990,Protective service occupations,major,2003
CT,Connecticut,20950.0,113490.0,17940,Food preparation and serving related occupations,major,2003
CT,Connecticut,24970.0,59410.0,22300,Building and grounds cleaning and maintenance occupations,major,2003
CT,Connecticut,24930.0,44040.0,20520,Personal care and service occupations,major,2003
CT,Connecticut,39970.0,179900.0,24760,Sales and related occupations,major,2003
CT,Connecticut,32350.0,301350.0,30870,Office and administrative support occupations,major,2003
CT,Connecticut,23900.0,1780.0,19620,"Farming, fishing, and forestry occupations",major,2003
CT,Connecticut,42890.0,55250.0,41750,Construction and extraction occupations,major,2003
CT,Connecticut,40240.0,53720.0,38880,"Installation, maintenance, and repair occupations",major,2003
CT,Connecticut,32340.0,120040.0,29670,Production occupations,major,2003
CT,Connecticut,29670.0,90880.0,26620,Transportation and material moving occupations,major,2003
DE,Delaware,77850.0,26650.0,65600,Management occupations,major,2003
DE,Delaware,51920.0,18240.0,45050,Business and financial operations occupations,major,2003
DE,Delaware,67450.0,9480.0,65160,Computer and mathematical occupations,major,2003
DE,Delaware,56410.0,4840.0,53630,Architecture and engineering occupations,major,2003
DE,Delaware,53470.0,6400.0,50640,"Life, physical, and social science occupations",major,2003
DE,Delaware,35820.0,6520.0,33740,Community and social services occupations,major,2003
DE,Delaware,69320.0,3560.0,52960,Legal occupations,major,2003
DE,Delaware,47030.0,21150.0,45200,"Education, training, and library occupations",major,2003
DE,Delaware,36580.0,2940.0,31180,"Arts, design, entertainment, sports, and media occupations",major,2003
DE,Delaware,61170.0,18970.0,51820,Healthcare practitioners and technical occupations,major,2003
DE,Delaware,24520.0,8140.0,23620,Healthcare support occupations,major,2003
DE,Delaware,32140.0,7500.0,28240,Protective service occupations,major,2003
DE,Delaware,18510.0,29760.0,16670,Food preparation and serving related occupations,major,2003
DE,Delaware,21120.0,14970.0,19010,Building and grounds cleaning and maintenance occupations,major,2003
DE,Delaware,21040.0,8060.0,17600,Personal care and service occupations,major,2003
DE,Delaware,29980.0,43630.0,21000,Sales and related occupations,major,2003
DE,Delaware,28960.0,85430.0,27470,Office and administrative support occupations,major,2003
DE,Delaware,25160.0,840.0,23230,"Farming, fishing, and forestry occupations",major,2003
DE,Delaware,35950.0,19320.0,33180,Construction and extraction occupations,major,2003
DE,Delaware,38720.0,17370.0,37870,"Installation, maintenance, and repair occupations",major,2003
DE,Delaware,30180.0,26340.0,26470,Production occupations,major,2003
DE,Delaware,28200.0,22820.0,25970,Transportation and material moving occupations,major,2003
DC,District of Columbia,89460.0,65890.0,84130,Management occupations,major,2003
DC,District of Columbia,68480.0,61900.0,65420,Business and financial operations occupations,major,2003
DC,District of Columbia,68800.0,28730.0,68690,Computer and mathematical occupations,major,2003
DC,District of Columbia,68660.0,12760.0,66180,Architecture and engineering occupations,major,2003
DC,District of Columbia,74610.0,17540.0,73680,"Life, physical, and social science occupations",major,2003
DC,District of Columbia,38600.0,7510.0,35880,Community and social services occupations,major,2003
DC,District of Columbia,97660.0,34490.0,93750,Legal occupations,major,2003
DC,District of Columbia,51030.0,26360.0,44300,"Education, training, and library occupations",major,2003
DC,District of Columbia,54270.0,18090.0,50670,"Arts, design, entertainment, sports, and media occupations",major,2003
DC,District of Columbia,62320.0,26310.0,52270,Healthcare practitioners and technical occupations,major,2003
DC,District of Columbia,42210.0,23270.0,36480,Protective service occupations,major,2003
DC,District of Columbia,20280.0,37800.0,18130,Food preparation and serving related occupations,major,2003
DC,District of Columbia,21730.0,23450.0,20560,Building and grounds cleaning and maintenance occupations,major,2003
DC,District of Columbia,25150.0,8210.0,21330,Personal care and service occupations,major,2003
DC,District of Columbia,36040.0,27650.0,26770,Sales and related occupations,major,2003
DC,District of Columbia,40380.0,123360.0,34650,Office and administrative support occupations,major,2003
DC,District of Columbia,40290.0,12150.0,39570,Construction and extraction occupations,major,2003
DC,District of Columbia,41270.0,8230.0,40820,"Installation, maintenance, and repair occupations",major,2003
DC,District of Columbia,37670.0,8850.0,35730,Production occupations,major,2003
DC,District of Columbia,28200.0,14690.0,23380,Transportation and material moving occupations,major,2003
FL,Florida,80630.0,277270.0,67370,Management occupations,major,2003
FL,Florida,52820.0,268140.0,45280,Business and financial operations occupations,major,2003
FL,Florida,56380.0,134370.0,52810,Computer and mathematical occupations,major,2003
FL,Florida,53460.0,115400.0,48800,Architecture and engineering occupations,major,2003
FL,Florida,47500.0,41330.0,42000,"Life, physical, and social science occupations",major,2003
FL,Florida,34040.0,87620.0,31210,Community and social services occupations,major,2003
FL,Florida,74400.0,61380.0,54020,Legal occupations,major,2003
FL,Florida,39560.0,343780.0,37130,"Education, training, and library occupations",major,2003
FL,Florida,37270.0,88060.0,32000,"Arts, design, entertainment, sports, and media occupations",major,2003
FL,Florida,54460.0,358000.0,43030,Healthcare practitioners and technical occupations,major,2003
FL,Florida,21740.0,172400.0,20650,Healthcare support occupations,major,2003
FL,Florida,32060.0,208260.0,29390,Protective service occupations,major,2003
FL,Florida,16840.0,613010.0,14660,Food preparation and serving related occupations,major,2003
FL,Florida,19050.0,278360.0,17400,Building and grounds cleaning and maintenance occupations,major,2003
FL,Florida,19830.0,190860.0,16730,Personal care and service occupations,major,2003
FL,Florida,30980.0,867250.0,21540,Sales and related occupations,major,2003
FL,Florida,25860.0,1409530.0,23740,Office and administrative support occupations,major,2003
FL,Florida,28880.0,400900.0,26880,Construction and extraction occupations,major,2003
FL,Florida,32690.0,290300.0,30560,"Installation, maintenance, and repair occupations",major,2003
FL,Florida,24430.0,388390.0,21590,Production occupations,major,2003
FL,Florida,23720.0,546770.0,19400,Transportation and material moving occupations,major,2003
GA,Georgia,84120.0,223890.0,71820,Management occupations,major,2003
GA,Georgia,54650.0,134720.0,48840,Business and financial operations occupations,major,2003
GA,Georgia,61250.0,97970.0,58060,Computer and mathematical occupations,major,2003
GA,Georgia,55570.0,53160.0,53420,Architecture and engineering occupations,major,2003
GA,Georgia,49750.0,22900.0,44340,"Life, physical, and social science occupations",major,2003
GA,Georgia,35590.0,35100.0,32560,Community and social services occupations,major,2003
GA,Georgia,68620.0,25930.0,45950,Legal occupations,major,2003
GA,Georgia,38580.0,238760.0,38500,"Education, training, and library occupations",major,2003
GA,Georgia,40780.0,34820.0,33520,"Arts, design, entertainment, sports, and media occupations",major,2003
GA,Georgia,52010.0,162780.0,41490,Healthcare practitioners and technical occupations,major,2003
GA,Georgia,21290.0,75010.0,19610,Healthcare support occupations,major,2003
GA,Georgia,28880.0,92170.0,26640,Protective service occupations,major,2003
GA,Georgia,16190.0,295960.0,14410,Food preparation and serving related occupations,major,2003
GA,Georgia,19180.0,114640.0,17500,Building and grounds cleaning and maintenance occupations,major,2003
GA,Georgia,22930.0,70860.0,17280,Personal care and service occupations,major,2003
GA,Georgia,29830.0,418220.0,21080,Sales and related occupations,major,2003
GA,Georgia,27410.0,664650.0,25450,Office and administrative support occupations,major,2003
GA,Georgia,20350.0,12960.0,17910,"Farming, fishing, and forestry occupations",major,2003
GA,Georgia,31400.0,162270.0,28640,Construction and extraction occupations,major,2003
GA,Georgia,35850.0,175510.0,33960,"Installation, maintenance, and repair occupations",major,2003
GA,Georgia,26630.0,348290.0,24060,Production occupations,major,2003
GA,Georgia,27770.0,325520.0,22670,Transportation and material moving occupations,major,2003
HI,Hawaii,77600.0,24700.0,67880,Management occupations,major,2003
HI,Hawaii,52060.0,19900.0,47700,Business and financial operations occupations,major,2003
HI,Hawaii,57610.0,7170.0,55650,Computer and mathematical occupations,major,2003
HI,Hawaii,58100.0,8110.0,56770,Architecture and engineering occupations,major,2003
HI,Hawaii,49700.0,6400.0,45620,"Life, physical, and social science occupations",major,2003
HI,Hawaii,37870.0,8640.0,36150,Community and social services occupations,major,2003
HI,Hawaii,58050.0,4400.0,48660,Legal occupations,major,2003
HI,Hawaii,41240.0,9440.0,34690,"Arts, design, entertainment, sports, and media occupations",major,2003
HI,Hawaii,63180.0,22650.0,52630,Healthcare practitioners and technical occupations,major,2003
HI,Hawaii,25120.0,12610.0,24060,Healthcare support occupations,major,2003
HI,Hawaii,29350.0,20890.0,26650,Protective service occupations,major,2003
HI,Hawaii,21390.0,67430.0,17980,Food preparation and serving related occupations,major,2003
HI,Hawaii,23240.0,32790.0,23640,Building and grounds cleaning and maintenance occupations,major,2003
HI,Hawaii,24850.0,18930.0,19830,Personal care and service occupations,major,2003
HI,Hawaii,27770.0,58050.0,21780,Sales and related occupations,major,2003
HI,Hawaii,29180.0,92300.0,27330,Office and administrative support occupations,major,2003
HI,Hawaii,46290.0,24680.0,46170,Construction and extraction occupations,major,2003
HI,Hawaii,39470.0,21800.0,37900,"Installation, maintenance, and repair occupations",major,2003
HI,Hawaii,28440.0,18820.0,24010,Production occupations,major,2003
HI,Hawaii,33170.0,35970.0,24170,Transportation and material moving occupations,major,2003
ID,Idaho,61030.0,36580.0,52900,Management occupations,major,2003
ID,Idaho,46410.0,16860.0,41910,Business and financial operations occupations,major,2003
ID,Idaho,52150.0,9020.0,47980,Computer and mathematical occupations,major,2003
ID,Idaho,58600.0,13230.0,54390,Architecture and engineering occupations,major,2003
ID,Idaho,42240.0,9440.0,37680,"Life, physical, and social science occupations",major,2003
ID,Idaho,30690.0,7880.0,30320,Community and social services occupations,major,2003
ID,Idaho,66260.0,3410.0,52390,Legal occupations,major,2003
ID,Idaho,36830.0,33480.0,39530,"Education, training, and library occupations",major,2003
ID,Idaho,28690.0,6040.0,24780,"Arts, design, entertainment, sports, and media occupations",major,2003
ID,Idaho,50620.0,27400.0,41940,Healthcare practitioners and technical occupations,major,2003
ID,Idaho,20760.0,14690.0,19070,Healthcare support occupations,major,2003
ID,Idaho,30240.0,10510.0,27340,Protective service occupations,major,2003
ID,Idaho,15520.0,46420.0,14310,Food preparation and serving related occupations,major,2003
ID,Idaho,19070.0,19950.0,17990,Building and grounds cleaning and maintenance occupations,major,2003
ID,Idaho,18790.0,9050.0,16080,Personal care and service occupations,major,2003
ID,Idaho,25480.0,58190.0,19780,Sales and related occupations,major,2003
ID,Idaho,24910.0,93650.0,22890,Office and administrative support occupations,major,2003
ID,Idaho,24410.0,5730.0,18870,"Farming, fishing, and forestry occupations",major,2003
ID,Idaho,31410.0,32640.0,29630,Construction and extraction occupations,major,2003
ID,Idaho,33470.0,26220.0,32220,"Installation, maintenance, and repair occupations",major,2003
ID,Idaho,25750.0,40960.0,23690,Production occupations,major,2003
ID,Idaho,24600.0,43910.0,22620,Transportation and material moving occupations,major,2003
IL,Illinois,80110.0,389620.0,69080,Management occupations,major,2003
IL,Illinois,55750.0,247510.0,48270,Business and financial operations occupations,major,2003
IL,Illinois,62660.0,124450.0,59870,Computer and mathematical occupations,major,2003
IL,Illinois,56080.0,91730.0,53550,Architecture and engineering occupations,major,2003
IL,Illinois,49530.0,39680.0,45380,"Life, physical, and social science occupations",major,2003
IL,Illinois,35060.0,65220.0,31320,Community and social services occupations,major,2003
IL,Illinois,87770.0,37720.0,68450,Legal occupations,major,2003
IL,Illinois,40730.0,367940.0,37590,"Education, training, and library occupations",major,2003
IL,Illinois,41020.0,68450.0,34680,"Arts, design, entertainment, sports, and media occupations",major,2003
IL,Illinois,49430.0,275690.0,42400,Healthcare practitioners and technical occupations,major,2003
IL,Illinois,22580.0,123310.0,20820,Healthcare support occupations,major,2003
IL,Illinois,38260.0,139820.0,35610,Protective service occupations,major,2003
IL,Illinois,16630.0,414840.0,14640,Food preparation and serving related occupations,major,2003
IL,Illinois,22250.0,182280.0,20080,Building and grounds cleaning and maintenance occupations,major,2003
IL,Illinois,22370.0,119890.0,17790,Personal care and service occupations,major,2003
IL,Illinois,31730.0,586630.0,21310,Sales and related occupations,major,2003
IL,Illinois,28980.0,1031130.0,26780,Office and administrative support occupations,major,2003
IL,Illinois,22390.0,8290.0,19180,"Farming, fishing, and forestry occupations",major,2003
IL,Illinois,46150.0,243380.0,46860,Construction and extraction occupations,major,2003
IL,Illinois,39260.0,211170.0,37210,"Installation, maintenance, and repair occupations",major,2003
IL,Illinois,28360.0,520360.0,25450,Production occupations,major,2003
IL,Illinois,28320.0,477760.0,24200,Transportation and material moving occupations,major,2003
IN,Indiana,73600.0,128340.0,63410,Management occupations,major,2003
IN,Indiana,48820.0,88860.0,44230,Business and financial operations occupations,major,2003
IN,Indiana,53530.0,37030.0,50790,Computer and mathematical occupations,major,2003
IN,Indiana,52750.0,50950.0,50830,Architecture and engineering occupations,major,2003
IN,Indiana,46990.0,18270.0,41580,"Life, physical, and social science occupations",major,2003
IN,Indiana,31500.0,27650.0,29320,Community and social services occupations,major,2003
IN,Indiana,58460.0,11920.0,41880,Legal occupations,major,2003
IN,Indiana,37390.0,153200.0,34650,"Education, training, and library occupations",major,2003
IN,Indiana,32280.0,26120.0,27720,"Arts, design, entertainment, sports, and media occupations",major,2003
IN,Indiana,51360.0,146340.0,40340,Healthcare practitioners and technical occupations,major,2003
IN,Indiana,22100.0,62940.0,21110,Healthcare support occupations,major,2003
IN,Indiana,28170.0,53960.0,26410,Protective service occupations,major,2003
IN,Indiana,16340.0,249290.0,15080,Food preparation and serving related occupations,major,2003
IN,Indiana,20880.0,89380.0,18810,Building and grounds cleaning and maintenance occupations,major,2003
IN,Indiana,20040.0,54750.0,17840,Personal care and service occupations,major,2003
IN,Indiana,28240.0,281060.0,19530,Sales and related occupations,major,2003
IN,Indiana,26240.0,456350.0,24120,Office and administrative support occupations,major,2003
IN,Indiana,21800.0,5160.0,20640,"Farming, fishing, and forestry occupations",major,2003
IN,Indiana,38530.0,137290.0,36670,Construction and extraction occupations,major,2003
IN,Indiana,36500.0,129210.0,34730,"Installation, maintenance, and repair occupations",major,2003
IN,Indiana,30970.0,397770.0,27980,Production occupations,major,2003
IN,Indiana,28030.0,248260.0,24870,Transportation and material moving occupations,major,2003
IA,Iowa,69010.0,65080.0,59740,Management occupations,major,2003
IA,Iowa,45820.0,51970.0,42190,Business and financial operations occupations,major,2003
IA,Iowa,52810.0,21710.0,51240,Computer and mathematical occupations,major,2003
IA,Iowa,50130.0,17680.0,48530,Architecture and engineering occupations,major,2003
IA,Iowa,43770.0,9840.0,40700,"Life, physical, and social science occupations",major,2003
IA,Iowa,30260.0,21510.0,29230,Community and social services occupations,major,2003
IA,Iowa,63440.0,6990.0,47230,Legal occupations,major,2003
IA,Iowa,33950.0,86360.0,30080,"Education, training, and library occupations",major,2003
IA,Iowa,29300.0,15630.0,24810,"Arts, design, entertainment, sports, and media occupations",major,2003
IA,Iowa,48450.0,66530.0,38240,Healthcare practitioners and technical occupations,major,2003
IA,Iowa,21440.0,37730.0,20730,Healthcare support occupations,major,2003
IA,Iowa,31240.0,21310.0,30280,Protective service occupations,major,2003
IA,Iowa,15770.0,119920.0,14330,Food preparation and serving related occupations,major,2003
IA,Iowa,19790.0,44880.0,18180,Building and grounds cleaning and maintenance occupations,major,2003
IA,Iowa,18350.0,32470.0,16170,Personal care and service occupations,major,2003
IA,Iowa,26020.0,150120.0,18390,Sales and related occupations,major,2003
IA,Iowa,25290.0,240730.0,23430,Office and administrative support occupations,major,2003
IA,Iowa,22710.0,5620.0,20130,"Farming, fishing, and forestry occupations",major,2003
IA,Iowa,32980.0,61010.0,30970,Construction and extraction occupations,major,2003
IA,Iowa,33410.0,60660.0,31960,"Installation, maintenance, and repair occupations",major,2003
IA,Iowa,28320.0,159820.0,26590,Production occupations,major,2003
IA,Iowa,26780.0,116240.0,24480,Transportation and material moving occupations,major,2003
KS,Kansas,74710.0,61560.0,62970,Management occupations,major,2003
KS,Kansas,50080.0,46950.0,45930,Business and financial operations occupations,major,2003
KS,Kansas,60480.0,27080.0,57050,Computer and mathematical occupations,major,2003
KS,Kansas,55800.0,26240.0,53820,Architecture and engineering occupations,major,2003
KS,Kansas,49980.0,9610.0,45350,"Life, physical, and social science occupations",major,2003
KS,Kansas,30210.0,14910.0,28310,Community and social services occupations,major,2003
KS,Kansas,62590.0,7230.0,45220,Legal occupations,major,2003
KS,Kansas,32440.0,82840.0,31320,"Education, training, and library occupations",major,2003
KS,Kansas,32840.0,14130.0,27970,"Arts, design, entertainment, sports, and media occupations",major,2003
KS,Kansas,47410.0,63950.0,39360,Healthcare practitioners and technical occupations,major,2003
KS,Kansas,20980.0,38530.0,20000,Healthcare support occupations,major,2003
KS,Kansas,29270.0,23850.0,26610,Protective service occupations,major,2003
KS,Kansas,16010.0,104400.0,14840,Food preparation and serving related occupations,major,2003
KS,Kansas,19350.0,41310.0,17610,Building and grounds cleaning and maintenance occupations,major,2003
KS,Kansas,19130.0,30580.0,17480,Personal care and service occupations,major,2003
KS,Kansas,31240.0,135780.0,19570,Sales and related occupations,major,2003
KS,Kansas,25610.0,224500.0,23540,Office and administrative support occupations,major,2003
KS,Kansas,23890.0,2480.0,21090,"Farming, fishing, and forestry occupations",major,2003
KS,Kansas,33560.0,63560.0,30840,Construction and extraction occupations,major,2003
